2016 NFL TV RATINGS,,,,,,,,,,,,,,,,,,,,,,,,
DH = doubleheader; Single = singleheader,,,,,,,,,,,,,,,,,,,,,,,,
Window,Game,Net,Rtg.,+/-,Vwrs.,+/-,Strm.,18-49,Week,,,,,,,,,,,,,,,
Special,WSH/DAL,FOX,14.5,1%,35.1M,8%,?,11.3,12,,,,,,,,,,,,,,,
Special,MIN/DET,CBS,13,6%,27.6M,9%,?,?,12,,,,,,,,,,,,,,,
Late DH,CAR/OAK (63%),CBS,13.2,-14%,23.5M,-12%,?,6.9,12,,,,,,,,,,,,,,,
Special,IND/PIT,NBC,10.1,-27%,20.9M,-25%,?,6.9,12,,,,,,,,,,,,,,,
SNF,KC/DEN,NBC,10.7,-27%,18.4M,-27%,?,6.2,12,,,,,,,,,,,,,,,
Single,SEA/TB (39%),FOX,9.8,-20%,16.8M,-18%,?,5.1,12,,,,,,,,,,,,,,,
MNF,GB/PHI,ESPN,7.8,20%,13.1M,29%,254K,4.2,12,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,7.6,27%,12.8M,31%,?,3.6,12,,,,,,,,,,,,,,,
Late DH,PHI/SEA (78%),CBS,13.6,-12%,24.4M,-11%,?,?,11,,,,,,,,,,,,,,,
SNF,GB/WSH,NBC,10.8,1%,18.7M,4%,?,6.2,11,,,,,,,,,,,,,,,
Early DH,BAL/DAL (72%),CBS,10.2,26%,17.6M,28%,?,?,11,,,,,,,,,,,,,,,
Single,CHI/NYG (30%),FOX,8.4,-19%,14.3M,-18%,?,?,11,,,,,,,,,,,,,,,
TNF**,NO/CAR,"NBC, NFLN",8.1,93%,13.3M,101%,305K,4.2,11,,,,,,,,,,,,,,,
MNF,HOU/OAK (Mexico),ESPN,6.9,-22%,11.8M,-17%,240K,4,11,,,,,,,,,,,,,,,
Late DH,DAL/PIT (92%),FOX,16.4,1%,28.9M,2%,?,?,10,,,,,,,,,,,,,,,
SNF,NE/SEA,NBC,12.7,11%,22.5M,16%,189K,7.7,10,,,,,,,,,,,,,,,
Early DH,ATL/PHI (44%),FOX,9.4,11%,15.9M,13%,?,?,10,,,,,,,,,,,,,,,
Single,Regional action,CBS,7.8,-33%,13.2M,-33%,?,?,10,,,,,,,,,,,,,,,
MNF,CIN/NYG,ESPN,6.7,-13%,10.7M,-12%,234K,3.6,10,,,,,,,,,,,,,,,
TNF,BAL/CLE,NFLN,3.5,-27%,5.7M,-25%,?,2,10,,,,,,,,,,,,,,,
Late DH,IND/GB (87%),CBS,11.7,-18%,20.2M,-16%,?,?,9,,,,,,,,,,,,,,,
Single,DAL/CLE (31%),FOX,11.6,-7%,20.2M,-4%,?,?,9,,,,,,,,,,,,,,,
SNF,DEN/OAK,NBC,10.4,-24%,18.3M,-20%,?,6.6,9,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,6.9,-15%,11.3M,-14%,?,?,9,,,,,,,,,,,,,,,
MNF,BUF/SEA,ESPN,6.9,-5%,11.3M,-2%,241K,3.8,9,,,,,,,,,,,,,,,
TNF,ATL/TB,NFLN,3.6,-35%,5.8M,-34%,?,2.1,9,,,,,,,,,,,,,,,
Late DH,GB/ATL,FOX,13.1,-23%,22.7M,-23%,?,?,8,,,,,,,,,,,,,,,
SNF,PHI/DAL,NBC,10.2,-22%,18.0M,-22%,?,6.5,8,,,,,,,,,,,,,,,
Single,Regional action,CBS,9.5,13%,16.2M,15%,?,?,8,,,,,,,,,,,,,,,
Early DH,SEA/NO (64%),FOX,7.7,-24%,12.8M,-23%,?,?,8,,,,,,,,,,,,,,,
MNF,MIN/CHI,ESPN,6.4,-18%,10.5M,-16%,199K,3.5,8,,,,,,,,,,,,,,,
Special,WSH/CIN (London),FOX,5.5,4%,8.7M,4%,?,?,8,,,,,,,,,,,,,,,
TNF**,JAX/TEN,NFLN,3.2,-71%,5.1M,-71%,?,1.8,8,,,,,,,,,,,,,,,
Late DH,NE/PIT,CBS,12.6,-13%,21.7M,-11%,?,?,7,,,,,,,,,,,,,,,
SNF,SEA/AZ,NBC,10.2,-16%,17.7M,-14%,?,6,7,,,,,,,,,,,,,,,
Single,MIN/PHI (46%),FOX,10.1,-13%,16.9M,-12%,?,?,7,,,,,,,,,,,,,,,
TNF,GB/CHI,"CBS, NFLN",8.6,-18%,14.2M,-17%,?,4.5,7,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,7,-11%,11.3M,-9%,?,?,7,,,,,,,,,,,,,,,
MNF,HOU/DEN,ESPN,6.7,-14%,11.2M,-8%,236K,3.7,7,,,,,,,,,,,,,,,
Special**,NYG/LA (London),NFLN,2.4,?,3.7M,125%,?,?,7,,,,,,,,,,,,,,,
Late DH,DAL/GB (86%),FOX,15.8,9%,28.0M,12%,?,?,6,,,,,,,,,,,,,,,
Single,Regional action,CBS,10.2,-4%,17.2M,-4%,?,?,6,,,,,,,,,,,,,,,
TNF,DEN/SD,"CBS, NFLN",8.7,-6%,14.5M,-2%,?,4.7,6,,,,,,,,,,,,,,,
SNF,IND/HOU,NBC,8.1,-38%,13.6M,-40%,?,4.9,6,,,,,,,,,,,,,,,
Early DH,PHI/WSH (39%),FOX,7.7,-29%,13.2M,-28%,?,?,6,,,,,,,,,,,,,,,
MNF,NYJ/AZ,ESPN,5.2,-40%,8.4M,-40%,200K,3,6,,,,,,,,,,,,,,,
Late DH,CIN/DAL (80%),CBS,12.1,-20%,21.3M,-18%,?,?,5,,,,,,,,,,,,,,,
Single,ATL/DEN (43%),FOX,9.4,-14%,16.5M,-9%,?,?,5,,,,,,,,,,,,,,,
SNF**,NYG/GB,NBC,9.3,-21%,16.6M,-15%,?,5.9,5,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,9,8%,15.2M,12%,?,?,5,,,,,,,,,,,,,,,
TNF,AZ/SF,"CBS, NFLN",7.4,-22%,12.1M,-20%,?,4.1,5,,,,,,,,,,,,,,,
MNF,TB/CAR,ESPN,5.6,-27%,9.1M,-26%,214K,3.3,5,,,,,,,,,,,,,,,
Late DH,DAL/SF (84%),FOX,13.1,-13%,22.7M,-12%,?,?,4,,,,,,,,,,,,,,,
SNF,KC/PIT,NBC,10.3,-27%,18.1M,-25%,116K,6.7,4,,,,,,,,,,,,,,,
Single,Regional action,CBS,9.4,-2%,16.4M,4%,?,?,4,,,,,,,,,,,,,,,
MNF,NYG/MIN,ESPN,8,-11%,13.2M,-9%,262K,4.7,4,,,,,,,,,,,,,,,
Early DH,SEA/NYJ (43%),FOX,6.7,-14%,11.2M,-13%,?,?,4,,,,,,,,,,,,,,,
TNF**,MIA/CIN,NFLN,4.8,-59%,7.9M,-59%,?,3,4,,,,,,,,,,,,,,,
Special,IND/JAX (London),CBS,4.8,-25%,7.7M,-22%,?,?,4,,,,,,,,,,,,,,,
Late DH,PIT/PHI (52%),CBS,12.6,-2%,22.0M,-1%,?,7.1,3,,,,,,,,,,,,,,,
SNF,CHI/DAL,NBC,11.7,-11%,20.6M,-7%,125K,7.6,3,,,,,,,,,,,,,,,
Single,WSH/NYG (31%),FOX,11.1,3%,19.2M,5%,?,?,3,,,,,,,,,,,,,,,
TNF,HOU/NE,"CBS, NFLN",10.6,1%,17.5M,4%,398K,6.1,3,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,8,-13%,13.1M,-13%,?,?,3,,,,,,,,,,,,,,,
MNF**,ATL/NO,ESPN,4.9,-41%,8.0M,-40%,209K,3.1,3,,,,,,,,,,,,,,,
SNF,GB/MIN,NBC,12.7,-16%,22.8M,-14%,202K,8.2,2,,,,,,,,,,,,,,,
Late DH,IND/DEN (74%),CBS,12.2,-21%,21.4M,-21%,?,7,2,,,,,,,,,,,,,,,
Single,DAL/WSH (36%),FOX,11,12%,19.2M,15%,?,?,2,,,,,,,,,,,,,,,
TNF,NYJ/BUF,"CBS, NFLN",9.5,-26%,15.4M,-27%,314K,5.4,2,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,8.5,-8%,14.4M,-6%,?,?,2,,,,,,,,,,,,,,,
MNF,PHI/CHI,ESPN,7.3,-10%,12.1M,-3%,295K,4.5,2,,,,,,,,,,,,,,,
Late DH,NYG/DAL (90%),FOX,15.5,15%,27.5M,18%,?,?,1,,,,,,,,,,,,,,,
Kickoff,CAR/DEN,NBC,14.6,-10%,25.2M,-8%,278K,9.4,1,,,,,,,,,,,,,,,
SNF,NE/AZ,NBC,13.1,-15%,23.1M,-14%,196K,8.4,1,,,,,,,,,,,,,,,
Single,Regional action,CBS,9.3,-20%,16.0M,-20%,?,?,1,,,,,,,,,,,,,,,
Early DH,GB/JAX (34%),FOX,9.2,2%,15.8M,6%,?,?,1,,,,,,,,,,,,,,,
MNF,PIT/WSH,ESPN,7.7,-9%,13.0M,-4%,306K,4.8,1,,,,,,,,,,,,,,,
MNF,LA/SF,ESPN,6.2,-30%,10.3M,-28%,308K,4.2,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Window/Game,Net,Rtg.,+/-,Vwrs.,+/-,,,,,,,,,,,,,,,,,,,
Steelers/Patriots,NBC,16.2,3%,27.4M,1%,1,,,,,,,,,,,,,,,,,,
Giants/Cowboys,NBC,15.4,10%,26.8M,12%,1,,,,,,,,,,,,,,,,,,
Ravens/Broncos (80%),CBS,13.5,-14%,23.3M,-17%,1,,,,,,,,,,,,,,,,,,
Packers/Bears (47%),FOX,11.6,17%,20.1M,22%,1,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,14.9M,6%,1,,,,,,,,,,,,,,,,,,
Vikings/49ers,ESPN,8.8,24%,14.3M,24%,1,,,,,,,,,,,,,,,,,,
Eagles/Falcons,ESPN,8.5,1%,13.6M,-1%,1,,,,,,,,,,,,,,,,,,
Cowboys/Eagles,FOX,15.5,8%,27.2M,9%,2,,,,,,,,,,,,,,,,,,
Seahawks/Packers,NBC,15.1,17%,26.4M,19%,2,,,,,,,,,,,,,,,,,,
Broncos/Chiefs,"CBS, NFLN",12.9,2%,21.1M,2%,2,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,16.7M,-14%,2,,,,,,,,,,,,,,,,,,
Falcons/Giants (32%),FOX,?,?,15.3M,17%,2,,,,,,,,,,,,,,,,,,
Jets/Colts,ESPN,8.1,-12%,12.5M,-16%,2,,,,,,,,,,,,,,,,,,
Bears/Seahawks (76%),CBS,12.9,-18%,22.1M,-19%,3,,,,,,,,,,,,,,,,,,
Broncos/Lions,NBC,13.1,10%,22.1M,11%,3,,,,,,,,,,,,,,,,,,
Falcons/Cowboys (46%),FOX,?,?,18.3M,-11%,3,,,,,,,,,,,,,,,,,,
Wash./Giants,"CBS, NFLN",10.5,40%,16.9M,42%,3,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,15.1M,4%,3,,,,,,,,,,,,,,,,,,
Chiefs/Packers,ESPN,8.3,-1%,13.5M,2%,3,,,,,,,,,,,,,,,,,,
Packers/49ers (57%),FOX,15,even,25.9M,even,4,,,,,,,,,,,,,,,,,,
Cowboys/Saints,NBC,14.1,4%,24.2M,5%,4,,,,,,,,,,,,,,,,,,
Ravens/Steelers,"CBS, NFLN",11.8,16%,19.4M,19%,4,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,15.8M,34%,4,,,,,,,,,,,,,,,,,,
Lions/Seahawks,ESPN,9,2%,14.4M,even,4,,,,,,,,,,,,,,,,,,
Giants/Bills (68%),FOX,?,?,12.8M,-15%,4,,,,,,,,,,,,,,,,,,
Jets/Dolphins,CBS,?,?,9.9M,no gm.,4,,,,,,,,,,,,,,,,,,
Patriots/Cowboys (81%),CBS,15.2,32%,26.1M,33%,5,,,,,,,,,,,,,,,,,,
49ers/Giants,NBC,11.8,1%,19.6M,1%,5,,,,,,,,,,,,,,,,,,
Seahawks/Bengals (39%),FOX,?,?,18.0M,-7%,5,,,,,,,,,,,,,,,,,,
Colts/Texans,"CBS, NFLN",9.5,-3%,15.1M,-9%,5,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,13.6M,-7%,5,,,,,,,,,,,,,,,,,,
Steelers/Chargers,ESPN,7.7,-6%,12.2M,-7%,5,,,,,,,,,,,,,,,,,,
Chargers/Packers (81%),CBS,14.5,-17%,25.0M,-17%,6,,,,,,,,,,,,,,,,,,
Patriots/Colts,NBC,13.1,21%,22.8M,26%,6,,,,,,,,,,,,,,,,,,
Regional action,CBS,10.9,14%,18.3M,14%,6,,,,,,,,,,,,,,,,,,
Panthers/Seahawks (38%),FOX,10.6,13%,17.9M,16%,6,,,,,,,,,,,,,,,,,,
Falcons/Saints,"CBS, NFLN",9.3,-7%,14.8M,-7%,6,,,,,,,,,,,,,,,,,,
Giants/Eagles,ESPN,8.7,10%,13.9M,9%,6,,,,,,,,,,,,,,,,,,
Cowboys/Giants,FOX,14.4,-8%,24.5M,-9%,7,,,,,,,,,,,,,,,,,,
Eagles/Panthers,NBC,12.2,-12%,20.6M,-13%,7,,,,,,,,,,,,,,,,,,
Regional action,CBS,11.6,26%,19.2M,25%,7,,,,,,,,,,,,,,,,,,
Seahawks/49ers,"CBS, NFLN",10.5,4%,17.1M,6%,7,,,,,,,,,,,,,,,,,,
Saints/Colts (56%),FOX,7.9,-7%,12.5M,-12%,7,,,,,,,,,,,,,,,,,,
Ravens/Cardinals,ESPN,7.8,-4%,12.2M,-8%,7,,,,,,,,,,,,,,,,,,
Bills/Jaguars,Yahoo!,none,no gm.,1.6M,no gm.,7,,,,,,,,,,,,,,,,,,
Seahawks/Cowboys,FOX,17,39%,29.4M,42%,8,,,,,,,,,,,,,,,,,,
Packers/Broncos,NBC,13,19%,23.0M,22%,8,,,,,,,,,,,,,,,,,,
Dolphins/Patriots,"CBS, NFLN",10.9,-11%,17.5M,-13%,8,,,,,,,,,,,,,,,,,,
Giants/Saints (46%),FOX,10.1,15%,16.6M,17%,8,,,,,,,,,,,,,,,,,,
Regional action,CBS,8.4,-24%,14.1M,-23%,8,,,,,,,,,,,,,,,,,,
Colts/Panthers,ESPN,7.8,-32%,12.4M,-34%,8,,,,,,,,,,,,,,,,,,
Lions/Chiefs,FOX,5.3,-4%,8.4M,-1%,8,,,,,,,,,,,,,,,,,,
Broncos/Colts,CBS,14.3,-15%,24.0M,-18%,9,,,,,,,,,,,,,,,,,,
Eagles/Cowboys,NBC,13.6,23%,23.0M,24%,9,,,,,,,,,,,,,,,,,,
Packers/Panthers (56%),FOX,12.5,-5%,20.9M,-6%,9,,,,,,,,,,,,,,,,,,
Regional action,CBS,8.1,40%,13.2M,42%,9,,,,,,,,,,,,,,,,,,
Bears/Chargers,ESPN,7.3,-6%,11.4M,-7%,9,,,,,,,,,,,,,,,,,,
Browns/Bengals,NFLN,5.5,31%,8.8M,28%,9,,,,,,,,,,,,,,,,,,
Patriots/Giants (66%),CBS,16.3,21%,28.3M,25%,10,,,,,,,,,,,,,,,,,,
Vikings/Raiders (27%),FOX,11.6,9%,19.6M,13%,10,,,,,,,,,,,,,,,,,,
Cardinals/Seahawks,NBC,11.4,8%,19.4M,7%,10,,,,,,,,,,,,,,,,,,
Regional action,CBS,8.5,4%,14.2M,5%,10,,,,,,,,,,,,,,,,,,
Texans/Bengals,ESPN,7.7,7%,12.2M,8%,10,,,,,,,,,,,,,,,,,,
Bills/Jets,NFLN,4.8,-8%,7.6M,-9%,10,,,,,,,,,,,,,,,,,,
Packers/Vikings (89%),FOX,15.5,3%,27.5M,4%,11,,,,,,,,,,,,,,,,,,
Bengals/Cardinals,NBC,10.7,-14%,18.0M,-14%,11,,,,,,,,,,,,,,,,,,
Regional action,CBS,10.4,-3%,17.4M,-3%,11,,,,,,,,,,,,,,,,,,
Bills/Patriots,ESPN,8.9,10%,14.3M,12%,11,,,,,,,,,,,,,,,,,,
Wash./Panthers (66%),FOX,8.1,-2%,13.7M,-1%,11,,,,,,,,,,,,,,,,,,
Titans/Jaguars,NFLN,4.2,-14%,6.6M,-15%,11,,,,,,,,,,,,,,,,,,
Panthers/Cowboys,CBS,14.3,1%,32.5M,1%,12,,,,,,,,,,,,,,,,,,
Bears/Packers,NBC,13.8,21%,27.8M,21%,12,,,,,,,,,,,,,,,,,,
Steelers/Seahawks,CBS,15.4,-1%,26.6M,1%,12,,,,,,,,,,,,,,,,,,
Eagles/Lions,FOX,12.3,-10%,25.4M,-14%,12,,,,,,,,,,,,,,,,,,
Patriots/Broncos,NBC,14.6,11%,25.2M,13%,12,,,,,,,,,,,,,,,,,,
Giants/Wash. (32%),FOX,12.3,1%,20.5M,-1%,12,,,,,,,,,,,,,,,,,,
Ravens/Browns,ESPN,6.5,-3%,10.1M,-7%,12,,,,,,,,,,,,,,,,,,
Regional action,CBS,6,-28%,9.8M,-25%,12,,,,,,,,,,,,,,,,,,
Panthers/Saints (61%),FOX,16.3,-7%,28.6M,-7%,13,,,,,,,,,,,,,,,,,,
Colts/Steelers,NBC,11.1,-11%,19.2M,-9%,13,,,,,,,,,,,,,,,,,,
