2016 NFL TV RATINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DH = doubleheader; Single = singleheader,,,,,,,,,,,,,,,,,2016,2016,2015,2015,2014,2014,2013,2013,,,,,,,,,,
Window,Game,Net,Rtg.,+/-,Vwrs.,+/-,Strm.,18-49,Week,,,Week,Rtg.,Vwrs.,,Week,Rtg,Viewers,Rtg,Viewers,Rtg,Viewers,Rtg,Viewers,,,Aggregate Weekly Numbers,,,,,,,
Special,WSH/DAL,FOX,14.5,1%,35.1M,8%,?,11.3,12,,,12,14.5,35.1,,1,10.8,18.7,12.3,20.1,11.2,19.2,11.7,19.4, ,,2016,2016,2015,2015,2014,2014,2013,2013
Special,MIN/DET,CBS,13,6%,27.6M,9%,?,?,12,,,12,13,27.6,,2,10.2,17.6,12.9,19.9,11.4,19.2,9.9,16.2,,Week,Rtg,Viewers,Rtg,Viewers,Rtg,Viewers,Rtg,Viewers
Late DH,CAR/OAK (63%),CBS,13.2,-14%,23.5M,-12%,?,6.9,12,,,12,13.2,23.5,,3,9.8,16.7,11.2,18.0,10.7,17.9,10.2,17.7,,1,10.8,18.7,12.3,20.1,11.2,19.2,11.7,19.4
Special,IND/PIT,NBC,10.1,-27%,20.9M,-25%,?,6.9,12,,,12,10.1,20.9,,4,8.2,13.9,12.5,17.5,10.6,17.7,9.3,15.0,,2,10.2,17.6,12.9,19.9,11.4,19.2,9.9,16.2
SNF,KC/DEN,NBC,10.7,-27%,18.4M,-27%,?,6.2,12,,,12,10.7,18.4,,5,8.8,15.1,11.1,17.4,10.3,17.1,8.3,13.5,,3,9.8,16.7,11.2,18.0,10.7,17.9,10.2,17.7
Single,SEA/TB (39%),FOX,9.8,-20%,16.8M,-18%,?,5.1,12,,,12,9.8,16.8,,6,9.3,15.8,11.2,18.8,10.9,18.0,9.8,16.1,,4,8.2,13.9,12.5,17.5,10.6,17.7,9.3,15.0
MNF,GB/PHI,ESPN,7.8,20%,13.1M,29%,254K,4.2,12,,,12,7.8,13.1,,7,8.2,13.8,10.7,15.4,10.9,18.3,9.0,15.1,,5,8.8,15.1,11.1,17.4,10.3,17.1,8.3,13.5
Early DH,Regional action,CBS,7.6,27%,12.8M,31%,?,3.6,12,,,12,7.6,12.8,,8,7.9,13.4,10.4,17.3,10.3,17.1,3.9,6.0,,6,9.3,15.8,11.2,18.8,10.9,18.0,9.8,16.1
Late DH,PHI/SEA (78%),CBS,13.6,-12%,24.4M,-11%,?,?,11,,,11,13.6,24.4,,9,8.5,14.5,10.2,16.9,9.8,16.4,9.5,15.6,,7,8.2,13.8,10.7,15.4,10.9,18.3,9.0,15.1
SNF,GB/WSH,NBC,10.8,1%,18.7M,4%,?,6.2,11,,,11,10.8,18.7,,10,9.4,16.2,10.1,16.9,9.2,15.2,9.5,15.7,,8,7.9,13.4,10.4,17.3,10.3,17.1,3.9,6.0
Early DH,BAL/DAL (72%),CBS,10.2,26%,17.6M,28%,?,?,11,,,11,10.2,17.6,,11,9.7,16.7,9.6,16.3,9.9,16.6,10.3,17.2,,9,8.5,14.5,10.2,16.9,9.8,16.4,9.5,15.6
Single,CHI/NYG (30%),FOX,8.4,-19%,14.3M,-18%,?,?,11,,,11,8.4,14.3,,12,10.8,21.0,11.9,22.2,10.1,16.8,10.5,17.4,,10,9.4,16.2,10.1,16.9,9.2,15.2,9.5,15.7
TNF**,NO/CAR,"NBC, NFLN",8.1,93%,13.3M,101%,305K,4.2,11,,,11,8.1,13.3,,13,#DIV/0!,#DIV/0!,11.1,18.7,11.9,22.2,11.8,21.5,,11,9.7,16.7,9.6,16.3,9.9,16.6,10.3,17.2
MNF,HOU/OAK (Mexico),ESPN,6.9,-22%,11.8M,-17%,240K,4,11,,,11,6.9,11.8,,14,#DIV/0!,#DIV/0!,10.3,17.3,10.3,16.9,10.0,16.4,,12,10.8,21.0,11.9,22.2,10.1,16.8,10.5,17.4
Late DH,DAL/PIT (92%),FOX,16.4,1%,28.9M,2%,?,?,10,,,10,16.4,28.9,,15,#DIV/0!,#DIV/0!,9.1,15.4,10.5,17.4,9.7,15.8,,13,#DIV/0!,#DIV/0!,11.1,18.7,11.9,22.2,11.8,21.5
SNF,NE/SEA,NBC,12.7,11%,22.5M,16%,189K,7.7,10,,,10,12.7,22.5,,16,#DIV/0!,#DIV/0!,11.8,15.8,9.0,14.9,8.7,14.4,,14,#DIV/0!,#DIV/0!,10.3,17.3,10.3,16.9,10.0,16.4
Early DH,ATL/PHI (44%),FOX,9.4,11%,15.9M,13%,?,?,10,,,10,9.4,15.9,,17,#DIV/0!,#DIV/0!,11.8,20.4,10.8,18.9,11.2,19.5,,15,#DIV/0!,#DIV/0!,9.1,15.4,10.5,17.4,9.7,15.8
Single,Regional action,CBS,7.8,-33%,13.2M,-33%,?,?,10,,,10,7.8,13.2,,,,,,,,,,,,16,#DIV/0!,#DIV/0!,11.8,15.8,9.0,14.9,8.7,14.4
MNF,CIN/NYG,ESPN,6.7,-13%,10.7M,-12%,234K,3.6,10,,,10,6.7,10.7,,,,,,,,,,,,17,#DIV/0!,#DIV/0!,11.8,20.4,10.8,18.9,11.2,19.5
TNF,BAL/CLE,NFLN,3.5,-27%,5.7M,-25%,?,2,10,,,10,3.5,5.7,,,,,,,,,,,,,,,,,,,,
Late DH,IND/GB (87%),CBS,11.7,-18%,20.2M,-16%,?,?,9,,,9,11.7,20.2,,,,,,,,,,,,,,,,,,,,
Single,DAL/CLE (31%),FOX,11.6,-7%,20.2M,-4%,?,?,9,,,9,11.6,20.2,,,,,,,,,,,,,,,,,,,,
SNF,DEN/OAK,NBC,10.4,-24%,18.3M,-20%,?,6.6,9,,,9,10.4,18.3,,,,,,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,6.9,-15%,11.3M,-14%,?,?,9,,,9,6.9,11.3,,,,,,,,,,,,,,,,,,,,
MNF,BUF/SEA,ESPN,6.9,-5%,11.3M,-2%,241K,3.8,9,,,9,6.9,11.3,,,,,,,,,,,,,,,,,,,,
TNF,ATL/TB,NFLN,3.6,-35%,5.8M,-34%,?,2.1,9,,,9,3.6,5.8,,,,,,,,,,,,,,,,,,,,
Late DH,GB/ATL,FOX,13.1,-23%,22.7M,-23%,?,?,8,,,8,13.1,22.7,,,,,,,,,,,,,,,,,,,,
SNF,PHI/DAL,NBC,10.2,-22%,18.0M,-22%,?,6.5,8,,,8,10.2,18,,,,,,,,,,,,,,,,,,,,
Single,Regional action,CBS,9.5,13%,16.2M,15%,?,?,8,,,8,9.5,16.2,,,,,,,,,,,,,,,,,,,,
Early DH,SEA/NO (64%),FOX,7.7,-24%,12.8M,-23%,?,?,8,,,8,7.7,12.8,,,,,,,,,,,,,,,,,,,,
MNF,MIN/CHI,ESPN,6.4,-18%,10.5M,-16%,199K,3.5,8,,,8,6.4,10.5,,,,,,,,,,,,,,,,,,,,
Special,WSH/CIN (London),FOX,5.5,4%,8.7M,4%,?,?,8,,,8,5.5,8.7,,,,,,,,,,,,,,,,,,,,
TNF**,JAX/TEN,NFLN,3.2,-71%,5.1M,-71%,?,1.8,8,,,8,3.2,5.1,,,,,,,,,,,,,,,,,,,,
Late DH,NE/PIT,CBS,12.6,-13%,21.7M,-11%,?,?,7,,,7,12.6,21.7,,,,,,,,,,,,,,,,,,,,
SNF,SEA/AZ,NBC,10.2,-16%,17.7M,-14%,?,6,7,,,7,10.2,17.7,,,,,,,,,,,,,,,,,,,,
Single,MIN/PHI (46%),FOX,10.1,-13%,16.9M,-12%,?,?,7,,,7,10.1,16.9,,,,,,,,,,,,,,,,,,,,
TNF,GB/CHI,"CBS, NFLN",8.6,-18%,14.2M,-17%,?,4.5,7,,,7,8.6,14.2,,,,,,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,7,-11%,11.3M,-9%,?,?,7,,,7,7,11.3,,,,,,,,,,,,,,,,,,,,
MNF,HOU/DEN,ESPN,6.7,-14%,11.2M,-8%,236K,3.7,7,,,7,6.7,11.2,,,,,,,,,,,,,,,,,,,,
Special**,NYG/LA (London),NFLN,2.4,?,3.7M,125%,?,?,7,,,7,2.4,3.7,,,,,,,,,,,,,,,,,,,,
Late DH,DAL/GB (86%),FOX,15.8,9%,28.0M,12%,?,?,6,,,6,15.8,28,,,,,,,,,,,,,,,,,,,,
Single,Regional action,CBS,10.2,-4%,17.2M,-4%,?,?,6,,,6,10.2,17.2,,,,,,,,,,,,,,,,,,,,
TNF,DEN/SD,"CBS, NFLN",8.7,-6%,14.5M,-2%,?,4.7,6,,,6,8.7,14.5,,,,,,,,,,,,,,,,,,,,
SNF,IND/HOU,NBC,8.1,-38%,13.6M,-40%,?,4.9,6,,,6,8.1,13.6,,,,,,,,,,,,,,,,,,,,
Early DH,PHI/WSH (39%),FOX,7.7,-29%,13.2M,-28%,?,?,6,,,6,7.7,13.2,,,,,,,,,,,,,,,,,,,,
MNF,NYJ/AZ,ESPN,5.2,-40%,8.4M,-40%,200K,3,6,,,6,5.2,8.4,,,,,,,,,,,,,,,,,,,,
Late DH,CIN/DAL (80%),CBS,12.1,-20%,21.3M,-18%,?,?,5,,,5,12.1,21.3,,,,,,,,,,,,,,,,,,,,
Single,ATL/DEN (43%),FOX,9.4,-14%,16.5M,-9%,?,?,5,,,5,9.4,16.5,,,,,,,,,,,,,,,,,,,,
SNF**,NYG/GB,NBC,9.3,-21%,16.6M,-15%,?,5.9,5,,,5,9.3,16.6,,,,,,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,9,8%,15.2M,12%,?,?,5,,,5,9,15.2,,,,,,,,,,,,,,,,,,,,
TNF,AZ/SF,"CBS, NFLN",7.4,-22%,12.1M,-20%,?,4.1,5,,,5,7.4,12.1,,,,,,,,,,,,,,,,,,,,
MNF,TB/CAR,ESPN,5.6,-27%,9.1M,-26%,214K,3.3,5,,,5,5.6,9.1,,,,,,,,,,,,,,,,,,,,
Late DH,DAL/SF (84%),FOX,13.1,-13%,22.7M,-12%,?,?,4,,,4,13.1,22.7,,,,,,,,,,,,,,,,,,,,
SNF,KC/PIT,NBC,10.3,-27%,18.1M,-25%,116K,6.7,4,,,4,10.3,18.1,,,,,,,,,,,,,,,,,,,,
Single,Regional action,CBS,9.4,-2%,16.4M,4%,?,?,4,,,4,9.4,16.4,,,,,,,,,,,,,,,,,,,,
MNF,NYG/MIN,ESPN,8,-11%,13.2M,-9%,262K,4.7,4,,,4,8,13.2,,,,,,,,,,,,,,,,,,,,
Early DH,SEA/NYJ (43%),FOX,6.7,-14%,11.2M,-13%,?,?,4,,,4,6.7,11.2,,,,,,,,,,,,,,,,,,,,
TNF**,MIA/CIN,NFLN,4.8,-59%,7.9M,-59%,?,3,4,,,4,4.8,7.9,,,,,,,,,,,,,,,,,,,,
Special,IND/JAX (London),CBS,4.8,-25%,7.7M,-22%,?,?,4,,,4,4.8,7.7,,,,,,,,,,,,,,,,,,,,
Late DH,PIT/PHI (52%),CBS,12.6,-2%,22.0M,-1%,?,7.1,3,,,3,12.6,22,,,,,,,,,,,,,,,,,,,,
SNF,CHI/DAL,NBC,11.7,-11%,20.6M,-7%,125K,7.6,3,,,3,11.7,20.6,,,,,,,,,,,,,,,,,,,,
Single,WSH/NYG (31%),FOX,11.1,3%,19.2M,5%,?,?,3,,,3,11.1,19.2,,,,,,,,,,,,,,,,,,,,
TNF,HOU/NE,"CBS, NFLN",10.6,1%,17.5M,4%,398K,6.1,3,,,3,10.6,17.5,,,,,,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,8,-13%,13.1M,-13%,?,?,3,,,3,8,13.1,,,,,,,,,,,,,,,,,,,,
MNF**,ATL/NO,ESPN,4.9,-41%,8.0M,-40%,209K,3.1,3,,,3,4.9,8,,,,,,,,,,,,,,,,,,,,
SNF,GB/MIN,NBC,12.7,-16%,22.8M,-14%,202K,8.2,2,,,2,12.7,22.8,,,,,,,,,,,,,,,,,,,,
Late DH,IND/DEN (74%),CBS,12.2,-21%,21.4M,-21%,?,7,2,,,2,12.2,21.4,,,,,,,,,,,,,,,,,,,,
Single,DAL/WSH (36%),FOX,11,12%,19.2M,15%,?,?,2,,,2,11,19.2,,,,,,,,,,,,,,,,,,,,
TNF,NYJ/BUF,"CBS, NFLN",9.5,-26%,15.4M,-27%,314K,5.4,2,,,2,9.5,15.4,,,,,,,,,,,,,,,,,,,,
Early DH,Regional action,CBS,8.5,-8%,14.4M,-6%,?,?,2,,,2,8.5,14.4,,,,,,,,,,,,,,,,,,,,
MNF,PHI/CHI,ESPN,7.3,-10%,12.1M,-3%,295K,4.5,2,,,2,7.3,12.1,,,,,,,,,,,,,,,,,,,,
Late DH,NYG/DAL (90%),FOX,15.5,15%,27.5M,18%,?,?,1,,,1,15.5,27.5,,,,,,,,,,,,,,,,,,,,
Kickoff,CAR/DEN,NBC,14.6,-10%,25.2M,-8%,278K,9.4,1,,,1,14.6,25.2,,,,,,,,,,,,,,,,,,,,
SNF,NE/AZ,NBC,13.1,-15%,23.1M,-14%,196K,8.4,1,,,1,13.1,23.1,,,,,,,,,,,,,,,,,,,,
Single,Regional action,CBS,9.3,-20%,16.0M,-20%,?,?,1,,,1,9.3,16,,,,,,,,,,,,,,,,,,,,
Early DH,GB/JAX (34%),FOX,9.2,2%,15.8M,6%,?,?,1,,,1,9.2,15.8,,,,,,,,,,,,,,,,,,,,
MNF,PIT/WSH,ESPN,7.7,-9%,13.0M,-4%,306K,4.8,1,,,1,7.7,13,,,,,,,,,,,,,,,,,,,,
MNF,LA/SF,ESPN,6.2,-30%,10.3M,-28%,308K,4.2,1,,,1,6.2,10.3,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Window/Game,Net,Rtg.,+/-,Vwrs.,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steelers/Patriots,NBC,16.2,3%,27.4M,1%,1,,,,,,Week,Rtg,,,,,,,,,,,,,,,,,,,,,
Giants/Cowboys,NBC,15.4,10%,26.8M,12%,1,,,,,,1,16.2,27.4,#DIV/0!,,,,,,,,,,,,,,,,,,,
Ravens/Broncos (80%),CBS,13.5,-14%,23.3M,-17%,1,,,,,,1,15.4,26.8,,,,,,,,,,,,,,,,,,,,
Packers/Bears (47%),FOX,11.6,17%,20.1M,22%,1,,,,,,1,13.5,23.3,,,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,14.9M,6%,1,,,,,,1,11.6,20.1,,,,,,,,,,,,,,,,,,,,
Vikings/49ers,ESPN,8.8,24%,14.3M,24%,1,,,,,,1,?,14.9,,,,,,,,,,,,,,,,,,,,
Eagles/Falcons,ESPN,8.5,1%,13.6M,-1%,1,,,,,,1,8.8,14.3,,,,,,,,,,,,,,,,,,,,
Cowboys/Eagles,FOX,15.5,8%,27.2M,9%,2,,,,,,1,8.5,13.6,,,,,,,,,,,,,,,,,,,,
Seahawks/Packers,NBC,15.1,17%,26.4M,19%,2,,,,,,2,15.5,27.2,,,,,,,,,,,,,,,,,,,,
Broncos/Chiefs,"CBS, NFLN",12.9,2%,21.1M,2%,2,,,,,,2,15.1,26.4,,,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,16.7M,-14%,2,,,,,,2,12.9,21.1,,,,,,,,,,,,,,,,,,,,
Falcons/Giants (32%),FOX,?,?,15.3M,17%,2,,,,,,2,?,16.7,,,,,,,,,,,,,,,,,,,,
Jets/Colts,ESPN,8.1,-12%,12.5M,-16%,2,,,,,,2,?,15.3,,,,,,,,,,,,,,,,,,,,
Bears/Seahawks (76%),CBS,12.9,-18%,22.1M,-19%,3,,,,,,2,8.1,12.5,,,,,,,,,,,,,,,,,,,,
Broncos/Lions,NBC,13.1,10%,22.1M,11%,3,,,,,,3,12.9,22.1,,,,,,,,,,,,,,,,,,,,
Falcons/Cowboys (46%),FOX,?,?,18.3M,-11%,3,,,,,,3,13.1,22.1,,,,,,,,,,,,,,,,,,,,
Wash./Giants,"CBS, NFLN",10.5,40%,16.9M,42%,3,,,,,,3,?,18.3,,,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,15.1M,4%,3,,,,,,3,10.5,16.9,,,,,,,,,,,,,,,,,,,,
Chiefs/Packers,ESPN,8.3,-1%,13.5M,2%,3,,,,,,3,?,15.1,,,,,,,,,,,,,,,,,,,,
Packers/49ers (57%),FOX,15,even,25.9M,even,4,,,,,,3,8.3,13.5,,,,,,,,,,,,,,,,,,,,
Cowboys/Saints,NBC,14.1,4%,24.2M,5%,4,,,,,,4,15,25.9,,,,,,,,,,,,,,,,,,,,
Ravens/Steelers,"CBS, NFLN",11.8,16%,19.4M,19%,4,,,,,,4,14.1,24.2,,,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,15.8M,34%,4,,,,,,4,11.8,19.4,,,,,,,,,,,,,,,,,,,,
Lions/Seahawks,ESPN,9,2%,14.4M,even,4,,,,,,4,?,15.8,,,,,,,,,,,,,,,,,,,,
Giants/Bills (68%),FOX,?,?,12.8M,-15%,4,,,,,,4,9,14.4,,,,,,,,,,,,,,,,,,,,
Jets/Dolphins,CBS,?,?,9.9M,no gm.,4,,,,,,4,?,12.8,,,,,,,,,,,,,,,,,,,,
Patriots/Cowboys (81%),CBS,15.2,32%,26.1M,33%,5,,,,,,4,?,9.9,,,,,,,,,,,,,,,,,,,,
49ers/Giants,NBC,11.8,1%,19.6M,1%,5,,,,,,5,15.2,26.1,,,,,,,,,,,,,,,,,,,,
Seahawks/Bengals (39%),FOX,?,?,18.0M,-7%,5,,,,,,5,11.8,19.6,,,,,,,,,,,,,,,,,,,,
Colts/Texans,"CBS, NFLN",9.5,-3%,15.1M,-9%,5,,,,,,5,?,18,,,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,13.6M,-7%,5,,,,,,5,9.5,15.1,,,,,,,,,,,,,,,,,,,,
Steelers/Chargers,ESPN,7.7,-6%,12.2M,-7%,5,,,,,,5,?,13.6,,,,,,,,,,,,,,,,,,,,
Chargers/Packers (81%),CBS,14.5,-17%,25.0M,-17%,6,,,,,,5,7.7,12.2,,,,,,,,,,,,,,,,,,,,
Patriots/Colts,NBC,13.1,21%,22.8M,26%,6,,,,,,6,14.5,25,,,,,,,,,,,,,,,,,,,,
Regional action,CBS,10.9,14%,18.3M,14%,6,,,,,,6,13.1,22.8,,,,,,,,,,,,,,,,,,,,
Panthers/Seahawks (38%),FOX,10.6,13%,17.9M,16%,6,,,,,,6,10.9,18.3,,,,,,,,,,,,,,,,,,,,
Falcons/Saints,"CBS, NFLN",9.3,-7%,14.8M,-7%,6,,,,,,6,10.6,17.9,,,,,,,,,,,,,,,,,,,,
Giants/Eagles,ESPN,8.7,10%,13.9M,9%,6,,,,,,6,9.3,14.8,,,,,,,,,,,,,,,,,,,,
Cowboys/Giants,FOX,14.4,-8%,24.5M,-9%,7,,,,,,6,8.7,13.9,,,,,,,,,,,,,,,,,,,,
Eagles/Panthers,NBC,12.2,-12%,20.6M,-13%,7,,,,,,7,14.4,24.5,,,,,,,,,,,,,,,,,,,,
Regional action,CBS,11.6,26%,19.2M,25%,7,,,,,,7,12.2,20.6,,,,,,,,,,,,,,,,,,,,
Seahawks/49ers,"CBS, NFLN",10.5,4%,17.1M,6%,7,,,,,,7,11.6,19.2,,,,,,,,,,,,,,,,,,,,
Saints/Colts (56%),FOX,7.9,-7%,12.5M,-12%,7,,,,,,7,10.5,17.1,,,,,,,,,,,,,,,,,,,,
Ravens/Cardinals,ESPN,7.8,-4%,12.2M,-8%,7,,,,,,7,7.9,12.5,,,,,,,,,,,,,,,,,,,,
Bills/Jaguars,Yahoo!,none,no gm.,1.6M,no gm.,7,,,,,,7,7.8,12.2,,,,,,,,,,,,,,,,,,,,
Seahawks/Cowboys,FOX,17,39%,29.4M,42%,8,,,,,,7,none,1.6,,,,,,,,,,,,,,,,,,,,
Packers/Broncos,NBC,13,19%,23.0M,22%,8,,,,,,8,17,29.4,,,,,,,,,,,,,,,,,,,,
Dolphins/Patriots,"CBS, NFLN",10.9,-11%,17.5M,-13%,8,,,,,,8,13,23,,,,,,,,,,,,,,,,,,,,
Giants/Saints (46%),FOX,10.1,15%,16.6M,17%,8,,,,,,8,10.9,17.5,,,,,,,,,,,,,,,,,,,,
Regional action,CBS,8.4,-24%,14.1M,-23%,8,,,,,,8,10.1,16.6,,,,,,,,,,,,,,,,,,,,
Colts/Panthers,ESPN,7.8,-32%,12.4M,-34%,8,,,,,,8,8.4,14.1,,,,,,,,,,,,,,,,,,,,
Lions/Chiefs,FOX,5.3,-4%,8.4M,-1%,8,,,,,,8,7.8,12.4,,,,,,,,,,,,,,,,,,,,
Broncos/Colts,CBS,14.3,-15%,24.0M,-18%,9,,,,,,8,5.3,8.4,,,,,,,,,,,,,,,,,,,,
Eagles/Cowboys,NBC,13.6,23%,23.0M,24%,9,,,,,,9,14.3,24,,,,,,,,,,,,,,,,,,,,
Packers/Panthers (56%),FOX,12.5,-5%,20.9M,-6%,9,,,,,,9,13.6,23,,,,,,,,,,,,,,,,,,,,
Regional action,CBS,8.1,40%,13.2M,42%,9,,,,,,9,12.5,20.9,,,,,,,,,,,,,,,,,,,,
Bears/Chargers,ESPN,7.3,-6%,11.4M,-7%,9,,,,,,9,8.1,13.2,,,,,,,,,,,,,,,,,,,,
Browns/Bengals,NFLN,5.5,31%,8.8M,28%,9,,,,,,9,7.3,11.4,,,,,,,,,,,,,,,,,,,,
Patriots/Giants (66%),CBS,16.3,21%,28.3M,25%,10,,,,,,9,5.5,8.8,,,,,,,,,,,,,,,,,,,,
Vikings/Raiders (27%),FOX,11.6,9%,19.6M,13%,10,,,,,,10,16.3,28.3,,,,,,,,,,,,,,,,,,,,
Cardinals/Seahawks,NBC,11.4,8%,19.4M,7%,10,,,,,,10,11.6,19.6,,,,,,,,,,,,,,,,,,,,
Regional action,CBS,8.5,4%,14.2M,5%,10,,,,,,10,11.4,19.4,,,,,,,,,,,,,,,,,,,,
Texans/Bengals,ESPN,7.7,7%,12.2M,8%,10,,,,,,10,8.5,14.2,,,,,,,,,,,,,,,,,,,,
Bills/Jets,NFLN,4.8,-8%,7.6M,-9%,10,,,,,,10,7.7,12.2,,,,,,,,,,,,,,,,,,,,
Packers/Vikings (89%),FOX,15.5,3%,27.5M,4%,11,,,,,,10,4.8,7.6,,,,,,,,,,,,,,,,,,,,
Bengals/Cardinals,NBC,10.7,-14%,18.0M,-14%,11,,,,,,11,15.5,27.5,,,,,,,,,,,,,,,,,,,,
Regional action,CBS,10.4,-3%,17.4M,-3%,11,,,,,,11,10.7,18,,,,,,,,,,,,,,,,,,,,
Bills/Patriots,ESPN,8.9,10%,14.3M,12%,11,,,,,,11,10.4,17.4,,,,,,,,,,,,,,,,,,,,
Wash./Panthers (66%),FOX,8.1,-2%,13.7M,-1%,11,,,,,,11,8.9,14.3,,,,,,,,,,,,,,,,,,,,
Titans/Jaguars,NFLN,4.2,-14%,6.6M,-15%,11,,,,,,11,8.1,13.7,,,,,,,,,,,,,,,,,,,,
